Title
Body (HTML)
Vendor
Product Category
Type
Tags
Published
Option1 Name
Option1 Value
Option2 Name
Option2 Value
Option3 Name
Option3 Value
Variant SKU
Variant Grams
Variant Inventory Tracker
Variant Inventory Qty
Variant Inventory Policy
Variant Fulfillment Service
Variant Price
Variant Compare At Price
Variant Requires Shipping
Variant Taxable
Variant Barcode
Gift Card
SEO Title
SEO Description
Google Shopping / Google Product Category
Google Shopping / Gender
Google Shopping / Age Group
Google Shopping / MPN
Google Shopping / Condition
Google Shopping / Custom Product
Google Shopping / Custom Label 0
Google Shopping / Custom Label 1
Google Shopping / Custom Label 2
Google Shopping / Custom Label 3
Google Shopping / Custom Label 4
Collection URL (product.metafields.custom.collection_url)
enable_best_price (product.metafields.custom.enable_best_price)
Google: Custom Product (product.metafields.mm-google-shopping.custom_product)
Product rating count (product.metafields.reviews.rating_count)
Variant Image
Variant Weight Unit
Variant Tax Code
Cost per item
Included / United States
Price / United States
Compare At Price / United States
Included / International
Price / International
Compare At Price / International
Status
Video Src
Video Name
Variants
Battery Option Value
Battery Price
